organization,work_area,name,latitude,longitude,depth,depth_source,watershid_id,lake_id,program
HAKAI,CALVERT,1,,,,,,,Projects
HAKAI,CALVERT,1008297,,,,,,,Projects
HAKAI,CALVERT,10138617,,,,,,,Projects
HAKAI,CALVERT,1015 1,,,,,,,Nearshore
HAKAI,CALVERT,1015 2,,,,,,,Nearshore
HAKAI,CALVERT,1015 2P,,,,,,,Nearshore
HAKAI,CALVERT,1015 3S,,,,,,,Nearshore
HAKAI,CALVERT,1015 689,,,,,,,Nearshore
HAKAI,CALVERT,1015 689 ABOVETHERMOCLINE,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 BOTTOM,51.6847300000001,-128.05727,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETC,51.68639998,-128.052978,,land,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETN,51.6898750300001,-128.052391,,land,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETNORTH,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETS,51.68185104,-128.059045,,land,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETSE,51.6839180100001,-128.05619,,land,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETSOUTH,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 INLETSOUTHEAST,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 OUTLET,51.692007,-128.057463,,land,1015,689,Watershed
HAKAI,CALVERT,1015 689 PHOTIC,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 SURFACE,51.6847300000001,-128.05727,,,1015,689,Watershed
HAKAI,CALVERT,1015 689 THERMO,,,,,1015,689,Watershed
HAKAI,CALVERT,1015 689_BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_INLETCENTRAL,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_INLETNORTH,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_INLETSOUTH,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_INLETSOUTHEAST,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,1015 689_SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,1015 892 INLETS,,,,,1015,892,Watershed
HAKAI,CALVERT,1015 892 INLETSE,,,,,1015,892,Watershed
HAKAI,CALVERT,1015 892 OUTLET,,,,,1015,892,Watershed
HAKAI,CALVERT,1015 892 SURFACE,,,,,1015,892,Watershed
HAKAI,CALVERT,1015 A,,,,,,,Nearshore
HAKAI,CALVERT,1015 ABOVETHERMOCLINE,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 B,,,,,,,Nearshore
HAKAI,CALVERT,1015 BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,1015 C,,,,,,,Nearshore
HAKAI,CALVERT,1015 D,,,,,,,Nearshore
HAKAI,CALVERT,1015 DISCHARGEDOWNSTREAM,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 DISCHARGEDS,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 DSSITE,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 E,,,,,,,Nearshore
HAKAI,CALVERT,1015 ES,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 INLET CENTRAL,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 INLET NORTH,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 INLET SOUTH,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 INLET SOUTH EAST,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 SOUTH INLET,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6 SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,1015 H6BOTTOM,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6INLETCENTRAL,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6INLETNORTH,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6INLETSOUTH,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6INLETSOUTHEAST,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6OUTLET,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6SOUTHINLET,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 H6SURFACE,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 INLETC,51.68639998,-128.052978,,,,,Watershed
HAKAI,CALVERT,1015 INLETN,51.6898750300001,-128.052391,,,,,Watershed
HAKAI,CALVERT,1015 INLETS,51.68185104,-128.059045,,,,,Watershed
HAKAI,CALVERT,1015 INLETSE,51.6839180100001,-128.05619,,,,,Watershed
HAKAI,CALVERT,1015 OUTLET,51.690527,-128.067788,,land,,,Watershed
HAKAI,CALVERT,1015 PHOTIC,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 RSL,,,,,,,Nearshore
HAKAI,CALVERT,1015 RSL2,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,1015 THERMO,,,,,1015,1015,Watershed
HAKAI,CALVERT,1015 UPSTREAM,,,,,1015,1015,Watershed
HAKAI,CALVERT,10208937,,,,,,,Projects
HAKAI,CALVERT,10311645,,,,,,,Projects
HAKAI,CALVERT,1043625,,,,,,,Projects
HAKAI,CALVERT,1043721,,,,,,,Projects
HAKAI,CALVERT,1050633,,,,,,,Projects
HAKAI,CALVERT,10508409,,,,,,,Projects
HAKAI,CALVERT,1056969,,,,,,,Projects
HAKAI,CALVERT,1057977,,,,,,,Projects
HAKAI,CALVERT,1058 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,1066089,,,,,,,Projects
HAKAI,CALVERT,1084125,,,,,,,Projects
HAKAI,CALVERT,10969785,,,,,,,Projects
HAKAI,CALVERT,11380521,,,,,,,Projects
HAKAI,CALVERT,1147402,,,,,,,Projects
HAKAI,CALVERT,1184553,51.8656,-128.238912,0.0,chart,,,Projects
HAKAI,CALVERT,12019113,51.8363000000001,-128.188167,2.0,chart,,,Projects
HAKAI,CALVERT,1230249,51.9165300000001,-128.19315,39.0,CHS NONNA10 Bathymetry,,,Projects
HAKAI,CALVERT,1237113,,,,,,,Projects
HAKAI,CALVERT,1261353,,,,,,,Projects
HAKAI,CALVERT,12969,,,,,,,Projects
HAKAI,CALVERT,1306809,51.4847800000001,-127.664617,0.0,chart,,,Projects
HAKAI,CALVERT,1325241,,,,,,,Projects
HAKAI,CALVERT,132969,52.0801000000001,-128.3215,25.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,,Projects
HAKAI,CALVERT,1400121,,,,,,,Projects
HAKAI,CALVERT,1405305,,,,,,,Projects
HAKAI,CALVERT,1427241,,,,,,,Projects
HAKAI,CALVERT,1443321,,,,,,,Projects
HAKAI,CALVERT,14453001,,,,,,,Projects
HAKAI,CALVERT,14456457,,,,,,,Projects
HAKAI,CALVERT,14714793,51.8638,-128.173767,1.0,chart,,,Projects
HAKAI,CALVERT,151005,52.0100800000001,-128.476256,37.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,,Projects
HAKAI,CALVERT,1525725,51.8622800000001,-128.445504,15.0,chart,,,Projects
HAKAI,CALVERT,1557801,,,,,,,Projects
HAKAI,CALVERT,1558665,51.6908100000001,-128.073256,0.0,chart,,,Projects
HAKAI,CALVERT,1648521,,,,,,,Projects
HAKAI,CALVERT,1695145,,,,,,,Projects
HAKAI,CALVERT,1710729,,,,,,,Projects
HAKAI,CALVERT,1738377,,,,,,,Projects
HAKAI,CALVERT,1743993,,,,,,,Projects
HAKAI,CALVERT,1776393,,,,,,,Projects
HAKAI,CALVERT,1809885,,,,,,,Projects
HAKAI,CALVERT,18568521,51.4415000000001,-127.971167,1.0,chart,,,Projects
HAKAI,CALVERT,1900809,51.65432,-128.108445,34.0,CHS NONNA10 Bathymetry,,,Projects
HAKAI,CALVERT,1907721,,,,,,,Projects
HAKAI,CALVERT,1924905,,,,,,,Projects
HAKAI,CALVERT,1947465,,,,,,,Projects
HAKAI,CALVERT,1972521,,,,,,,Projects
HAKAI,CALVERT,1976841,,,,,,,Projects
HAKAI,CALVERT,1991097,,,,,,,Projects
HAKAI,CALVERT,2013129,,,,,,,Projects
HAKAI,CALVERT,2044665,,,,,,,Projects
HAKAI,CALVERT,20612 OUTLET,51.36580122,-127.768549,1.0,chart,20612,20612,Watershed
HAKAI,CALVERT,20613 OUTLET,51.3687,-127.7573,,land,20613,20613,Watershed
HAKAI,CALVERT,20615 OUTLET,51.37650532,-127.7449311,,land,20615,20615,Watershed
HAKAI,CALVERT,20623 OUTLET,51.3950262000001,-127.7073025,,land,20623,20623,Watershed
HAKAI,CALVERT,20636 OUTLET,51.3770476500001,-127.6607934,,land,20636,20636,Watershed
HAKAI,CALVERT,20642 OUTLET,51.43074425,-127.6292547,,land,20642,20642,Watershed
HAKAI,CALVERT,20643 OUTLET,51.4659907700001,-127.5814722,,land,20643,20643,Watershed
HAKAI,CALVERT,2065833,,,,,,,Projects
HAKAI,CALVERT,2070585,51.60628,-127.731173,0.0,chart,,,Projects
HAKAI,CALVERT,2071785,,,,,,,Projects
HAKAI,CALVERT,20718 OUTLET,51.491914347,-127.535503698,,land,20718,20718,Watershed
HAKAI,CALVERT,20720 OUTLET,51.5352903500001,-127.516309,,land,20720,20720,Watershed
HAKAI,CALVERT,20722 OUTLET,51.5685330000001,-127.514507,,land,20722,20722,Watershed
HAKAI,CALVERT,20726 OUTLET,51.6239835100001,-127.4746435,,land,20726,20726,Watershed
HAKAI,CALVERT,20727 OUTLET,51.6311479,-127.4515056,,land,20727,20727,Watershed
HAKAI,CALVERT,20741 OUTLET,51.6509209800001,-127.355236,,land,20741,20741,Watershed
HAKAI,CALVERT,20747 OUTLET,51.6665165900001,-127.3125451,,land,20747,20747,Watershed
HAKAI,CALVERT,20754 OUTLET,51.67008301,-127.260025,,land,20754,20754,Watershed
HAKAI,CALVERT,20760 OUTLET,51.6875702780001,-127.290100621,,land,20760,20760,Watershed
HAKAI,CALVERT,20771C OUTLET,51.7300000000001,-127.33,,land,20771C,20771C,Watershed
HAKAI,CALVERT,20771K OUTLET,51.7500000000001,-127.33,,land,20771K,20771K,Watershed
HAKAI,CALVERT,20812 OUTLET,,,,,20812,20812,Watershed
HAKAI,CALVERT,20938 OUTLET,51.646504,-127.504727,,land,20938,20938,Watershed
HAKAI,CALVERT,20940 OUTLET,51.6413554600001,-127.5495886,,land,20940,20940,Watershed
HAKAI,CALVERT,20947 OUTLET,51.5561300900001,-127.6145751,,land,20947,20947,Watershed
HAKAI,CALVERT,20948 OUTLET,,,,,20948,20948,Watershed
HAKAI,CALVERT,20952 OUTLET,51.536994335,-127.687488562,,land,20952,20952,Watershed
HAKAI,CALVERT,20954 OUTLET,51.5376489320001,-127.746600987,,land,20954,20954,Watershed
HAKAI,CALVERT,20980 OUTLET,51.6359498410001,-127.715404179,,land,20980,20980,Watershed
HAKAI,CALVERT,2128041,,,,,,,Projects
HAKAI,CALVERT,2170377,51.73373,-128.137283,15.0,chart,,,Projects
HAKAI,CALVERT,2305065,,,,,,,Projects
HAKAI,CALVERT,236649,,,,,,,Projects
HAKAI,CALVERT,2367273,,,,,,,Projects
HAKAI,CALVERT,2459613,,,,,,,Projects
HAKAI,CALVERT,2562537,,,,,,,Projects
HAKAI,CALVERT,2571705,,,,,,,Projects
HAKAI,CALVERT,26410 OUTLET,51.6436800000001,-128.1497,,land,26410,26410,Watershed
HAKAI,CALVERT,26468 OUTLET,51.6226300000001,-127.9346,,land,26468,26468,Watershed
HAKAI,CALVERT,2650665,,,,,,,Projects
HAKAI,CALVERT,2659401,,,,,,,Projects
HAKAI,CALVERT,26812 OUTLET,51.5483919600001,-127.6022895,,land,26812,26812,Watershed
HAKAI,CALVERT,2737593,,,,,,,Projects
HAKAI,CALVERT,2752137,,,,,,,Projects
HAKAI,CALVERT,2830473,,,,,,,Projects
HAKAI,CALVERT,2882745,,,,,,,Projects
HAKAI,CALVERT,2981241,,,,,,,Projects
HAKAI,CALVERT,2NDBEACH,,,,,,,Nearshore
HAKAI,CALVERT,3016521,,,,,,,Projects
HAKAI,CALVERT,3048633,,,,,,,Projects
HAKAI,CALVERT,3109113,,,,,,,Projects
HAKAI,CALVERT,313209,51.62661,-127.756675,,land,,,Projects
HAKAI,CALVERT,317865,,,,,,,Projects
HAKAI,CALVERT,3188601,51.489,-127.750333,2.0,chart,,,Projects
HAKAI,CALVERT,3203721,51.7609100000001,-128.061879,0.0,chart,,,Projects
HAKAI,CALVERT,3226617,,,,,,,Projects
HAKAI,CALVERT,32733,,,,,,,Projects
HAKAI,CALVERT,3296457,,,,,,,Projects
HAKAI,CALVERT,3334953,,,,,,,Projects
HAKAI,CALVERT,33501,,,,,,,Projects
HAKAI,CALVERT,3366057,,,,,,,Projects
HAKAI,CALVERT,3406557,,,,,,,Projects
HAKAI,CALVERT,342153,,,,,,,Projects
HAKAI,CALVERT,34569,51.6459400000001,-128.095816,0.0,chart,,,Projects
HAKAI,CALVERT,3533673,,,,,,,Projects
HAKAI,CALVERT,3577401,,,,,,,Projects
HAKAI,CALVERT,3931209,,,,,,,Projects
HAKAI,CALVERT,3957033,,,,,,,Projects
HAKAI,CALVERT,3970957,,,,,,,Projects
HAKAI,CALVERT,3986505,,,,,,,Projects
HAKAI,CALVERT,399609,,,,,,,Projects
HAKAI,CALVERT,39969,51.59828,-127.832517,3.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,,Projects
HAKAI,CALVERT,4002057,51.8079000000001,-128.117183,30.0,chart,,,Projects
HAKAI,CALVERT,4083273,,,,,,,Projects
HAKAI,CALVERT,4091817,,,,,,,Projects
HAKAI,CALVERT,41481,,,,,,,Projects
HAKAI,CALVERT,4155753,,,,,,,Projects
HAKAI,CALVERT,4180905,,,,,,,Projects
HAKAI,CALVERT,4205865,,,,,,,Projects
HAKAI,CALVERT,4249593,,,,,,,Projects
HAKAI,CALVERT,4319913,,,,,,,Projects
HAKAI,CALVERT,4372281,51.62618,-127.690512,5.0,chart,,,Projects
HAKAI,CALVERT,437625,51.61048,-127.779069,5.0,chart,,,Projects
HAKAI,CALVERT,4475433,,,,,,,Projects
HAKAI,CALVERT,450057,,,,,,,Projects
HAKAI,CALVERT,4574889,,,,,,,Projects
HAKAI,CALVERT,4653417,,,,,,,Projects
HAKAI,CALVERT,4662057,,,,,,,Projects
HAKAI,CALVERT,4665609,,,,,,,Projects
HAKAI,CALVERT,466569,,,,,,,Projects
HAKAI,CALVERT,468729,,,,,,,Projects
HAKAI,CALVERT,4694841,,,,,,,Projects
HAKAI,CALVERT,4717449,,,,,,,Projects
HAKAI,CALVERT,4719609,,,,,,,Projects
HAKAI,CALVERT,4745513,,,,,,,Projects
HAKAI,CALVERT,476073,,,,,,,Projects
HAKAI,CALVERT,4840041,,,,,,,Projects
HAKAI,CALVERT,4865193,,,,,,,Projects
HAKAI,CALVERT,4865913,,,,,,,Projects
HAKAI,CALVERT,4899753,51.7315,-128.166683,20.0,chart,,,Projects
HAKAI,CALVERT,4980009,,,,,,,Projects
HAKAI,CALVERT,5072121,51.62138,-127.841,15.0,chart,,,Projects
HAKAI,CALVERT,5101065,,,,,,,Projects
HAKAI,CALVERT,5149353,,,,,,,Projects
HAKAI,CALVERT,5157129,,,,,,,Projects
HAKAI,CALVERT,5270265,51.3585800000001,-127.8042,30.0,chart,,,Projects
HAKAI,CALVERT,529209,51.4927700000001,-127.680083,10.0,chart,,,Projects
HAKAI,CALVERT,5356713,,,,,,,Projects
HAKAI,CALVERT,536 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,545961,,,,,,,Projects
HAKAI,CALVERT,556 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,5694633,,,,,,,Projects
HAKAI,CALVERT,570 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,579 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,5835321,,,,,,,Projects
HAKAI,CALVERT,590 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,5941305,51.5022000000001,-127.725333,5.0,chart,,,Projects
HAKAI,CALVERT,595 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,596829,,,,,,,Projects
HAKAI,CALVERT,5BCH,,,,,,,Nearshore
HAKAI,CALVERT,5BCH_A,,,,,,,Nearshore
HAKAI,CALVERT,5BCH_B,,,,,,,Nearshore
HAKAI,CALVERT,5BCH_C,,,,,,,Nearshore
HAKAI,CALVERT,6057,,,,,,,Projects
HAKAI,CALVERT,6161193,,,,,,,Projects
HAKAI,CALVERT,6179337,,,,,,,Projects
HAKAI,CALVERT,618633,,,,,,,Projects
HAKAI,CALVERT,6214665,,,,,,,Projects
HAKAI,CALVERT,626 1,,,,,,,Nearshore
HAKAI,CALVERT,626 2,,,,,,,Nearshore
HAKAI,CALVERT,626 3,,,,,,,Nearshore
HAKAI,CALVERT,626 3P,,,,,,,Nearshore
HAKAI,CALVERT,626 4,,,,,,,Nearshore
HAKAI,CALVERT,626 5,,,,,,,Nearshore
HAKAI,CALVERT,626 6,,,,,,,Nearshore
HAKAI,CALVERT,626 6S,,,,,,,Nearshore
HAKAI,CALVERT,626 7,,,,,,,Nearshore
HAKAI,CALVERT,626 7S,,,,,,,Nearshore
HAKAI,CALVERT,626 8,,,,,,,Nearshore
HAKAI,CALVERT,626 8S,,,,,,,Nearshore
HAKAI,CALVERT,626 A,,,,,,,Nearshore
HAKAI,CALVERT,626 B,,,,,,,Nearshore
HAKAI,CALVERT,626 C,,,,,,,Nearshore
HAKAI,CALVERT,626 D,,,,,,,Nearshore
HAKAI,CALVERT,626 DISCHARGEDS,,,,,626,626,Watershed
HAKAI,CALVERT,626 E,,,,,,,Nearshore
HAKAI,CALVERT,626 ES,,,,,,,Nearshore
HAKAI,CALVERT,626 OUTLET,51.641718,-128.120582,,land,,,Watershed
HAKAI,CALVERT,626 RSL,,,,,,,Nearshore
HAKAI,CALVERT,626 SSN626US,,,,,626,626,Watershed
HAKAI,CALVERT,626 WTW22,,,,,,,Nearshore
HAKAI,CALVERT,626 WTW23,,,,,,,Nearshore
HAKAI,CALVERT,626 WTW24,,,,,,,Nearshore
HAKAI,CALVERT,635049,,,,,,,Projects
HAKAI,CALVERT,646 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,6490377,51.8332500000001,-128.113117,30.0,chart,,,Projects
HAKAI,CALVERT,656 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,659 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,669405,,,,,,,Projects
HAKAI,CALVERT,671 OUTLET,,,,,,,Watershed
HAKAI,CALVERT,6715017,,,,,,,Projects
HAKAI,CALVERT,6784041,,,,,,,Projects
HAKAI,CALVERT,683001,,,,,,,Projects
HAKAI,CALVERT,684729,,,,,,,Projects
HAKAI,CALVERT,693 1,,,,,,,Nearshore
HAKAI,CALVERT,693 2,,,,,,,Nearshore
HAKAI,CALVERT,693 3,,,,,,,Nearshore
HAKAI,CALVERT,693 4,,,,,,,Nearshore
HAKAI,CALVERT,693 4P,,,,,,,Nearshore
HAKAI,CALVERT,693 5,,,,,,,Nearshore
HAKAI,CALVERT,693 6,,,,,,,Nearshore
HAKAI,CALVERT,693 892,,,,,,,Nearshore
HAKAI,CALVERT,693 892 BELOWTHERMOCLINE,,,,,693,892,Watershed
HAKAI,CALVERT,693 892 BOTTOM,51.6424000000001,-127.99696,,,693,892,Watershed
HAKAI,CALVERT,693 892 INLETEAST,,,,,693,892,Watershed
HAKAI,CALVERT,693 892 INLETS,51.64125999,-127.999103,,land,693,892,Watershed
HAKAI,CALVERT,693 892 INLETSE,51.64106302,-127.994972,,land,693,892,Watershed
HAKAI,CALVERT,693 892 INLETSOUTH,,,,,693,892,Watershed
HAKAI,CALVERT,693 892 INLETSOUTHEAST,,,,,693,892,Watershed
HAKAI,CALVERT,693 892 OUTLET,51.6452090000001,-127.998269,,land,693,892,Watershed
HAKAI,CALVERT,693 892 PHOTIC,,,,,693,892,Watershed
HAKAI,CALVERT,693 892 SURFACE,51.6424000000001,-127.99696,,,693,892,Watershed
HAKAI,CALVERT,693 892 THERMO,,,,,693,892,Watershed
HAKAI,CALVERT,693 892_BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 892_INLETEAST,,,,,,,Nearshore
HAKAI,CALVERT,693 892_INLETSOUTH,,,,,,,Nearshore
HAKAI,CALVERT,693 892_OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 892_SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 8S,,,,,,,Nearshore
HAKAI,CALVERT,693 931,,,,,,,Nearshore
HAKAI,CALVERT,693 931 BOTTOM,51.6378330000001,-128.00194,,,693,931,Watershed
HAKAI,CALVERT,693 931 INLET,51.6358653460001,-127.99906505,,land,693,931,Watershed
HAKAI,CALVERT,693 931 OUTLET,51.6396319,-128.000564,,land,693,931,Watershed
HAKAI,CALVERT,693 931 SURFACE,51.6378330000001,-128.00194,,,693,931,Watershed
HAKAI,CALVERT,693 931_BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 931_INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 931_OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 931_SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 964,,,,,,,Nearshore
HAKAI,CALVERT,693 964 INLETSOUTH,51.6321490390001,-127.990610321,,land,693,964,Watershed
HAKAI,CALVERT,693 964 INLETWEST,51.6324200000001,-127.993354,,land,693,964,Watershed
HAKAI,CALVERT,693 964 OUTLET,51.6339570000001,-127.992874,,land,693,964,Watershed
HAKAI,CALVERT,693 964_INLETSOUTH,,,,,,,Nearshore
HAKAI,CALVERT,693 964_INLETWEST,,,,,,,Nearshore
HAKAI,CALVERT,693 964_OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 984,,,,,,,Nearshore
HAKAI,CALVERT,693 984 BOTTOM,51.6310390000001,-127.977802,,,693,984,Watershed
HAKAI,CALVERT,693 984 INLET,51.629867,-127.97469,,land,693,984,Watershed
HAKAI,CALVERT,693 984 OUTLET,51.631246,-127.98646,,land,693,984,Watershed
HAKAI,CALVERT,693 984 SURFACE,51.6310390000001,-127.977802,,,693,984,Watershed
HAKAI,CALVERT,693 984_BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 984_INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 984_OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 984_SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 A,,,,,,,Nearshore
HAKAI,CALVERT,693 B,,,,,,,Nearshore
HAKAI,CALVERT,693 BELOWTHERMOCLINE,,,,,693,693,Watershed
HAKAI,CALVERT,693 BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 C,,,,,,,Nearshore
HAKAI,CALVERT,693 D,,,,,,,Nearshore
HAKAI,CALVERT,693 DISCHARGEUS,,,,,693,693,Watershed
HAKAI,CALVERT,693 ES,,,,,,,Nearshore
HAKAI,CALVERT,693 H2,,,,,,,Nearshore
HAKAI,CALVERT,693 H2 BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 H2 INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H2 OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H2 SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 H2BOTTOM,,,,,693,693,Watershed
HAKAI,CALVERT,693 H2INLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H2OUTLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H2SURFACE,,,,,693,693,Watershed
HAKAI,CALVERT,693 H3,,,,,,,Nearshore
HAKAI,CALVERT,693 H3 INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H3 OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H3INLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H3OUTLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H4,,,,,,,Nearshore
HAKAI,CALVERT,693 H4 INLET WEST,,,,,,,Nearshore
HAKAI,CALVERT,693 H4 OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H4 SOUTH INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H4INLETWEST,,,,,693,693,Watershed
HAKAI,CALVERT,693 H4OUTLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H4SOUTHINLET,,,,,693,693,Watershed
HAKAI,CALVERT,693 H5,,,,,,,Nearshore
HAKAI,CALVERT,693 H5 BOTTOM,,,,,,,Nearshore
HAKAI,CALVERT,693 H5 INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H5 OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H5 SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 H5-INLET E,,,,,,,Nearshore
HAKAI,CALVERT,693 H5-INLET S,,,,,,,Nearshore
HAKAI,CALVERT,693 H5-OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H5-SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 H5BOTTOM,,,,,693,693,Watershed
HAKAI,CALVERT,693 H5INLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H5INLETE,,,,,693,693,Watershed
HAKAI,CALVERT,693 H5INLETS,,,,,693,693,Watershed
HAKAI,CALVERT,693 H5OUTLET,,,,,,,Nearshore
HAKAI,CALVERT,693 H5SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 INLETS,51.64125999,-127.999103,,,,,Watershed
HAKAI,CALVERT,693 INLETSE,51.64106302,-127.994972,,,,,Watershed
